Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43982054,The Water Dancer,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""""","=""""",5,4.06,One World,Hardcover,416,2019,2019,2020/07/25,2020/07/19,,,read,,,,1,0
36408887,"Gay Girl, Good God: The Story of Who I Was and Who God Has Always Been",Jackie Hill Perry,"Perry, Jackie Hill",,"=""1462751229""","=""9781462751228""",5,4.36,B&H Books,Paperback,193,2018,2018,2020/01/31,2019/06/01,,,read,,,,1,0
36860760,How to Love a Jamaican,Alexia Arthurs,"Arthurs, Alexia",,"=""1524799203""","=""9781524799205""",5,3.85,Ballantine Books,Hardcover,243,2018,2018,2020/07/17,2020/07/16,,,read,,,,1,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska","=""0618346252""","=""9780618346257""",5,4.40,Houghton Mifflin Harcourt,Paperback,398,2003,1954,2020/07/16,2020/06/28,,,read,,,,1,0
52715989,Writers & Lovers,Lily King,"King, Lily",,"=""0802148530""","=""9780802148537""",5,4.01,Grove Press,Hardcover,324,2020,2020,2020/06/28,2020/06/28,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",5,4.29,Houghton Mifflin,Paperback,366,2002,1937,2020/06/28,2014/12/26,,,read,,,,1,0
36590103,The Problem of Pain,C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",0,4.13,HarperCollins e-books,Kindle Edition,181,2009,1940,2019/03/14,2020/03/14,to-read,to-read (#145),to-read,,,,1,0
25196214,"The Girl in the Spider's Web (Millennium, #4)",David Lagercrantz,"Lagercrantz, David",,"=""0385354290""","=""9780385354295""",0,3.80,Vintage Crime/Black Lizard,Kindle Edition,416,2015,2015,,2020/03/19,to-read,to-read (#144),to-read,,,,0,0
36113524,The Pursuit of God,A.W. Tozer,"Tozer, A.W.",,"=""1542099390""","=""9781542099394""",0,4.39,AmazonClassics,Kindle Edition,81,2017,1948,,2020/05/09,to-read,to-read (#143),to-read,,,,0,0
36687004,The Gender Game (The Gender Game #1),Bella Forrest,"Forrest, Bella",,"=""""","=""""",0,3.87,Nightlight ,Kindle Edition,418,2017,2016,,2020/03/07,to-read,to-read (#142),to-read,,,,0,0
37652654,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,"=""""","=""""",3,4.06,Vintage,Kindle Edition,338,2012,2012,2020/05/09,2020/05/07,,,read,,,,1,0
36387759,The Current,Tim Johnston,"Johnston, Tim",,"=""1616208899""","=""9781616208899""",3,3.64,Algonquin,Kindle Edition,352,2019,2019,2020/05/03,2020/04/19,,,read,,,,1,0
8300755,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",5,4.24,Vintage,Kindle Edition,675,2010,2007,2020/03/19,2020/03/14,,,read,,,,1,0
8115818,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",5,4.25,Vintage,Kindle Edition,738,2009,2006,2020/03/14,2020/03/07,,,read,,,,1,0
29938407,The Four Loves,C.S. Lewis,"Lewis, C.S.",,"=""0062565397""","=""9780062565396""",0,4.17,HarperOne,Paperback,192,2017,1960,,2020/01/20,to-read,to-read (#141),to-read,,,,0,0
19161874,"Where'd You Go, Bernadette",Maria Semple,"Semple, Maria",,"=""0316333603""","=""9780316333603""",4,3.88,"Little, Brown",Mass Market Paperback,354,2014,2012,2020/01/16,2020/01/14,,,read,,,,1,0
13158800,The Light Between Oceans,M.L. Stedman,"Stedman, M.L.",,"=""1451681739""","=""9781451681734""",5,4.04,Scribner,Hardcover,362,2012,2012,2020/01/14,2016/11/05,,,read,,,,1,0
44705371,After the Flood,Kassandra Montag,"Montag, Kassandra",,"=""""","=""""",0,3.69,William Morrow,Kindle Edition,432,2019,2019,,2019/10/11,to-read,to-read (#140),to-read,,,,0,0
