Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
15704459,"Firefight (The Reckoners, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743580""","=""9780385743587""",0,4.25,Delacorte Press,Hardcover,416,2015,2015,,2022/02/23,to-read,to-read (#165),to-read,,,,0,0
27158850,The Devil You Know,K.J. Parker,"Parker, K.J.",,"=""0765387891""","=""9780765387899""",4,3.93,Tom Doherty Associates,Paperback,124,2016,2016,2022/02/21,2022/02/21,,,read,,,,1,0
18490622,All Those Vanished Engines,Paul Park,"Park, Paul",,"=""0765375400""","=""9780765375407""",3,2.79,Tor Books,Hardcover,272,2014,2014,2022/02/20,2022/02/20,,,read,,,,1,0
37534907,The City in the Middle of the Night,Charlie Jane Anders,"Anders, Charlie Jane",,"=""0765379961""","=""9780765379962""",4,3.50,Tor Books,Hardcover,366,2019,2019,2022/02/14,2022/02/14,,,read,,,,1,0
55411736,A Quantum Life: My Unlikely Journey from the Street to the Stars,Hakeem Oluseyi,"Oluseyi, Hakeem",Joshua    Horwitz,"=""1984819097""","=""9781984819093""",3,4.48,Ballantine Books,Hardcover,342,2021,2021,2022/02/01,2022/02/01,,,read,,,,1,0
25901575,The Last Witness,K.J. Parker,"Parker, K.J.",,"=""0765385295""","=""9780765385291""",4,3.80,Tom Doherty Associates,Paperback,141,2015,2015,2022/01/30,2022/01/30,,,read,,,,1,0
31332462,The Incredible Crime,Lois Austen-Leigh,"Austen-Leigh, Lois",,"=""1464207461""","=""9781464207464""",3,3.08,Poisoned Pen Press,Paperback,232,2017,1931,2022/01/29,2022/01/29,,,read,,,,1,0
25242184,The Slow Regard of Silent Things,Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756411327""","=""9780756411329""",4,3.87,DAW,Paperback,159,2015,2014,2022/01/26,2022/01/26,,,read,It’s unusual but creative. Don’t expect a story that follows the usual patterns- this one breaks a lot of rules but I enjoyed it.,,,1,0
157466,The Supper of the Lamb: A Culinary Reflection (Modern Library Food),Robert Farrar Capon,"Capon, Robert Farrar",Deborah Madison,"=""0375760563""","=""9780375760563""",0,4.48,Modern Library,Paperback,284,2002,1989,,2022/01/26,to-read,to-read (#164),to-read,,,,0,0
49088677,"How to Rule an Empire and Get Away with It (The Siege, #2)",K.J. Parker,"Parker, K.J.",,"=""031649867X""","=""9780316498678""",4,4.10,Orbit,Paperback,354,2020,2020,2022/01/22,2022/01/23,,,read,,,,1,0
37946419,"Sixteen Ways to Defend a Walled City (The Siege, #1)",K.J. Parker,"Parker, K.J.",,"=""0316270792""","=""9780316270793""",4,4.07,Orbit,Paperback,350,2019,2019,2022/01/16,2022/01/16,,,read,,,,1,0
35458735,"Second Wind: A Sunfish Sailor, an Island, and the Voyage That Brought a Family Together",Nathaniel Philbrick,"Philbrick, Nathaniel",,"=""0143132091""","=""9780143132097""",4,3.85,Penguin Books,Paperback,240,2018,1999,2022/01/12,2022/01/12,,,read,,,,1,0
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""030727103X""","=""9780307271037""",0,3.58,Alfred A. Knopf,Hardcover,317,2015,2015,,2022/01/03,to-read,to-read (#163),to-read,,,,0,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,4.14,Faber & Faber,Paperback,258,2005,1989,,2022/01/03,to-read,to-read (#162),to-read,,,,0,0
36341217,The Reading Life: The Joy of Seeing New Worlds Through Others' Eyes,C.S. Lewis,"Lewis, C.S.",,"=""0062849972""","=""9780062849977""",5,4.10,HarperOne,Hardcover,192,2019,2019,2021/12/11,2021/12/11,,,read,,,,1,0
34427003,The Little Book of Black Holes (Science Essentials),Steven S. Gubser,"Gubser, Steven S.",Frans Pretorius,"=""0691163723""","=""9780691163727""",4,3.92,Princeton University Press,Hardcover,195,2017,,2021/12/06,2021/12/06,,,read,,,,1,0
50623864,The Invisible Life of Addie LaRue,Victoria E. Schwab,"Schwab, Victoria E.",,"=""0765387565""","=""9780765387561""",3,4.18,Tor Books,Hardcover,448,2020,2020,2021/12/06,2020/02/27,,,read,,,,1,0
26883560,The Drowning Eyes,Emily  Foster,"Foster, Emily",,"=""0765387689""","=""9780765387684""",4,3.39,Tordotcom,Paperback,134,2016,2016,2021/11/29,2021/11/29,,,read,,,,1,0
57055809,Flowers for the Sea,Zin E. Rocklyn,"Rocklyn, Zin E.",,"=""1250804035""","=""9781250804037""",4,3.42,Tor.com,Paperback,108,2021,2021,2021/11/17,2021/11/17,,,read,,,,1,0
13510444,The Lord of the Rings,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.53,Houghton Mifflin Harcourt,Kindle Edition,1209,2012,1954,,2021/11/13,currently-reading,currently-reading (#14),currently-reading,,,,1,0
55691038,Cult Writers: 50 Nonconformist Novelists You Need to Know (Cult Figures),Ian Haydn Smith,"Smith, Ian Haydn",Kristelle Rodeia,"=""0711250650""","=""9780711250659""",0,3.66,Frances Lincoln,Kindle Edition,144,2020,,,2021/11/11,currently-reading,currently-reading (#13),currently-reading,,,,1,0
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",5,4.00,Harper,Paperback,228,2005,1983,,2019/12/16,,,read,,,,1,0
52719054,Fairy Tales for Workers' Children,Hermynia zur Mühlen,"Mühlen, Hermynia zur","Ida Dailes, Lydia Gibson","=""""","=""""",1,3.25,Daily Worker Publishing Co.,Unknown Binding,73,1925,,2021/11/08,2021/11/08,,,read,I'm sensing a theme... Indoctrination for little communists.,,,1,0
920607,The Arrival,Shaun Tan,"Tan, Shaun",,"=""""","=""""",4,4.35,Lothian Books,Hardcover,132,2007,2007,2021/11/08,2021/11/08,,,read,,,,1,0
57571215,"Cytonic (Skyward, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0399555854""","=""9780399555855""",0,4.07,Delacorte Press,Hardcover,415,2021,2021,,2021/11/08,to-read,to-read (#161),to-read,,,,0,0
53254366,The Doomsday Book of Fairy Tales,Emily Brewes,"Brewes, Emily",,"=""1459747003""","=""9781459747005""",4,3.29,Dundurn Press,Paperback,296,2021,2021,2021/11/06,2021/11/06,,,read,,,,1,0
41451688,"The Dark Heart: A True Story of Greed, Murder, and an Unlikely Investigator",Joakim Palmkvist,"Palmkvist, Joakim",Agnes Broomé,"=""1503904792""","=""9781503904798""",4,3.48,Amazon Crossing,Paperback,320,2018,2017,2021/10/26,2021/10/26,,,read,,,,1,0
31933980,"The Shadow of What Was Lost (The Licanius Trilogy, #1)",James  Islington,"Islington, James",,"=""0316274070""","=""9780316274074""",5,4.14,Orbit,Paperback,701,2017,2014,2021/10/23,2021/10/14,,,read,,,,1,0
45452784,The Book of Malachi,T.C. Farren,"Farren, T.C.",Tracey Farren,"=""0795709021""","=""9780795709029""",4,3.33,Kwela,Paperback,304,2019,2019,2021/10/07,2021/10/07,,,read,,,,1,0
40717966,"It Was The Best Of Sentences, It Was The Worst Of Sentences: A Writer's Guide To Crafting Killer Sentences",June Casagrande,"Casagrande, June",,"=""""","=""""",0,4.14,Ten Speed Press,Kindle Edition,226,2010,2010,,2021/09/21,currently-reading,currently-reading (#12),currently-reading,,,,1,0
20821371,The Sense of Style: The Thinking Person's Guide to Writing in the 21st Century,Steven Pinker,"Pinker, Steven",,"=""0670025852""","=""9780670025855""",0,4.04,Viking,Hardcover,368,2014,2014,,2021/09/21,currently-reading,currently-reading (#11),currently-reading,,,,1,0
38740409,Like A Sword Wound,Ahmet Altan,"Altan, Ahmet","Brendan Feely, Yelda Turedi","=""160945474X""","=""9781609454746""",4,3.71,Europa Editions,Paperback,344,2018,1998,2021/09/21,2021/09/21,,,read,,,,1,0
56262197,The Progress of a Crime: A Fireworks Night Mystery,Julian Symons,"Symons, Julian",Martin Edwards,"=""1728219914""","=""9781728219912""",4,3.28,Poisoned Pen Press,Paperback,288,2021,1960,2021/09/09,2021/09/09,,,read,,,,1,0
54798187,Later,Stephen        King,"King, Stephen",,"=""1789096499""","=""9781789096491""",4,3.97,Hard Case Crime,Paperback,264,2021,2021,2021/08/31,2021/08/31,,,read,,,,1,0
53317495,Fireheart Tiger,Aliette de Bodard,"Bodard, Aliette de",,"=""1250793262""","=""9781250793263""",3,3.39,Tordotcom,Paperback,103,2021,2021,2021/08/28,2021/08/29,,,read,,,,1,0
49928905,"Drowned Country (The Greenhollow Duology, #2)",Emily Tesh,"Tesh, Emily",,"=""125075660X""","=""9781250756602""",3,3.97,Tor.com,Paperback,176,2020,2020,2021/08/28,2021/08/29,,,read,,,,1,0
54303569,The Shadows of Empire: How Imperial History Shapes Our World,Samir Puri,"Puri, Samir",,"=""1643136682""","=""9781643136684""",0,3.78,Pegasus Books,Hardcover,384,2021,,,2021/08/24,currently-reading,currently-reading (#10),currently-reading,,,,1,0
53359447,Hummingbird Salamander,Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374173540""","=""9780374173548""",3,3.25,MCD,Hardcover,351,2021,2021,2021/08/24,2021/08/24,,,read,,,,1,0
33574120,The Ghost: The Secret Life of CIA Spymaster James Jesus Angleton,Jefferson Morley,"Morley, Jefferson",,"=""1250080614""","=""9781250080615""",4,3.91,St. Martin's Press,Hardcover,330,2017,2017,2021/08/24,2021/08/24,,,read,,,,1,0
