Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
243714,Interpreter of Maladies,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""""","=""""",4,4.17,Mariner Books,Paperback,198,1999,1999,,2008/06/03,"fiction, short-stories, indian-author, public-library, pulitzer-prize","fiction (#93), short-stories (#4), indian-author (#2), public-library (#195), pulitzer-prize (#2)",read,,,,1,0
74143,The Egyptian Cinderella,Shirley Climo,"Climo, Shirley",Ruth Heller,"=""0064432793""","=""9780064432795""",0,3.93,HarperCollins,Paperback,32,1992,1989,,2021/11/05,"children-s-fiction, cinderella-variants","children-s-fiction (#76), cinderella-variants (#1)",read,,,,1,0
40874032,"Vicious (Villains, #1)",Victoria E. Schwab,"Schwab, Victoria E.",,"=""""","=""""",0,4.20,Tor Books,Kindle Edition,402,2013,2013,,2021/10/24,to-read,to-read (#490),to-read,,,,0,0
42189657,Stolen Things,Rachael Herron (RH Herron),"Herron), Rachael Herron (RH",,"=""1524744905""","=""9781524744908""",0,3.71,Dutton,Hardcover,368,2019,2019,,2021/10/19,to-read,to-read (#489),to-read,,,,0,0
40109367,Dare to Lead,Brené Brown,"Brown, Brené",,"=""147356252X""","=""9781473562523""",0,4.18,Ebury Digital,ebook,332,2018,2018,,2020/09/22,limbo,limbo (#10),limbo,,,,0,0
54614594,Simple and Free: 7 Experiments Against Excess,Jen Hatmaker,"Hatmaker, Jen",,"=""0593236769""","=""9780593236765""",0,3.99,Convergent Books,Hardcover,336,2021,,,2021/09/11,"nonfiction, public-library, to-read","nonfiction (#218), public-library (#452), to-read (#488)",to-read,,,,0,0
49504061,The Once and Future Witches,Alix E. Harrow,"Harrow, Alix E.",,"=""0316422045""","=""9780316422048""",0,4.04,Redhook,Hardcover,517,2020,2020,,2021/10/10,to-read,to-read (#487),to-read,,,,0,0
54303848,Infinite Country,Patricia Engel,"Engel, Patricia",,"=""""","=""""",0,3.93,Avid Reader Press,Hardcover,191,2021,2021,,2021/10/09,to-read,to-read (#486),to-read,,,,0,0
41154336,The Chestnut Man,Søren Sveistrup,"Sveistrup, Søren",Caroline Waight,"=""0062895362""","=""9780062895363""",0,4.21,Harper,Hardcover,519,2019,2019,,2021/10/07,to-read,to-read (#485),to-read,,,,0,0
28372019,"The Bookshop on the Corner (Kirrinfief, #1)",Jenny Colgan,"Colgan, Jenny",Helen Lloyd,"=""0062467263""","=""9780062467263""",0,3.84,William Morrow Paperbacks,Kindle Edition,348,2016,2016,,2021/10/07,to-read,to-read (#484),to-read,,,,0,0
50607466,"The Henna Artist (The Jaipur Trilogy, #1)",Alka Joshi,"Joshi, Alka",,"=""0778310205""","=""9780778310204""",0,4.19,Mira Books,Paperback,384,2020,2020,,2021/10/01,to-read,to-read (#483),to-read,,,,0,0
49127494,Without a Brew (Sloan Krause #4),Ellie Alexander,"Alexander, Ellie",,"=""1250205778""","=""9781250205773""",0,4.09,Minotaur Books,Hardcover,304,2020,2020,,2020/09/06,to-read,to-read (#481),to-read,,,,0,0
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",0,4.19,Tor Books,Mass Market Paperback,800,1990,1990,,2021/09/03,to-read,to-read (#480),to-read,,,,0,0
55859459,The 22 Murders of Madison May,Max Barry,"Barry, Max",,"=""0593085205""","=""9780593085202""",4,3.76,G.P. Putnam's Sons,Hardcover,336,2021,2021,2021/09/02,2021/08/08,"fiction, public-library","fiction (#432), public-library (#451)",read,,,,1,0
38915761,The Color of Compromise: The Truth about the American Church’s Complicity in Racism,Jemar Tisby,"Tisby, Jemar",Lecrae Moore,"=""0310597269""","=""9780310597261""",0,4.49,Zondervan,Hardcover,256,2019,2019,,2021/03/06,limbo,limbo (#9),limbo,,,,0,0
53045217,"In Bitter Chill (DC Connie Childs, #1)",Sarah  Ward,"Ward, Sarah",Juanita McMahon,"=""""","=""""",0,3.65,Whole Story Audiobooks ,Audible Audio,,2016,2015,,2021/08/21,to-read,to-read (#479),to-read,,,,0,0
56269007,"The Cure for What Ales You (Sloan Krause, #5)",Ellie Alexander,"Alexander, Ellie",,"=""1250781450""","=""9781250781451""",0,4.07,Minotaur Books,Hardcover,288,2021,2021,,2021/08/21,to-read,to-read (#478),to-read,,,,0,0
53175527,The Doors of Eden,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""0316705802""","=""9780316705806""",0,3.87,Orbit,Paperback,599,2020,2020,,2021/07/21,to-read,to-read (#477),to-read,,,,0,0
