Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
150779189,A Travel Guide to the Middle Ages: The World Through Medieval Eyes,Anthony Bale,"Bale, Anthony",,"=""1324064579""","=""9781324064572""",0,3.74,W. W. Norton & Company,Hardcover,368,2024,2024,,2024/06/08,to-read,to-read (#64),to-read,,,,0,0
22076170,"Figuring Foreigners Out, 20th Anniversary Edition: Understanding The World's Cultures",Craig Storti,"Storti, Craig",,"=""""","=""""",3,3.64,Nicholas Brealey,Kindle Edition,208,2011,1998,2024/05/13,2024/05/14,,,read,,,,1,0
7668,Rising Sun,Michael Crichton,"Crichton, Michael",,"=""0606298231""","=""9780606298230""",2,3.65,Demco Media,Mass Market Paperback,399,2004,1992,2024/06/01,2024/05/02,,,read,,,,1,0
326638,"The Nuremberg War Crimes Trial, 1945-46: A Documentary History (The Bedford Series in History and Culture)",Michael R. Marrus,"Marrus, Michael R.",,"=""0312136919""","=""9780312136918""",2,3.64,Bedford/St. Martin's,Paperback,288,1997,1997,2023/11/02,2023/10/28,,,read,,,,1,0
60784368,Once Upon a Prime: The Wondrous Connections Between Mathematics and Literature,Sarah  Hart,"Hart, Sarah",,"=""1250850886""","=""9781250850881""",0,3.91,Flatiron Books,Hardcover,304,2023,2023,,2024/05/07,to-read,to-read (#63),to-read,,,,0,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",5,4.02,Spectra,Kindle Edition,559,2018,1992,2024/04/21,2024/03/21,,,read,,,,1,0
112975131,"The Kingdom, the Power, and the Glory: American Evangelicals in an Age of Extremism",Tim Alberta,"Alberta, Tim",,"=""006322688X""","=""9780063226883""",0,4.44,Harper,Paperback,506,2023,2023,,2024/03/13,to-read,to-read (#62),to-read,,,,0,0
21418013,"Lock In (Lock In, #1)",John Scalzi,"Scalzi, John",,"=""0765375869""","=""9780765375865""",5,3.91,Tor Books,Hardcover,336,2014,2014,2024/03/09,2024/03/08,,,read,,,,1,0
60354453,Grace at Work: Redeeming the Grind and the Glory of Your Job,Bryan Chapell,"Chapell, Bryan",,"=""1433578239""","=""9781433578236""",0,4.19,Crossway,Paperback,233,2022,,,2024/03/04,currently-reading,currently-reading (#3),currently-reading,,,,1,0
62047992,"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,"=""0063278677""","=""9780063278677""",4,3.65,Harper Perennial,Paperback,150,2023,2010,2024/03/04,2024/03/03,,,read,,,,1,0
